retailer,name,brand,package_size,instore_price,instore_was_price,online_price,online_was_price,save_percent,category_original,category_std
Woolworth,6 Pack Moccona Classic Instant Coffee Medium Roast 500g Can,Moccona,3EA,319.95,319.95,319.95,319.95,0.0,"[""Pantry""]",Coffee
Woolworth,Illy 3kg Classico Arabica Coffee Beans Classic Roast/Sweet Notes Hot Drink,Illy,3KG,189.0,189.0,189.0,189.0,0.0,"[""Tea & Coffee"",""Coffee"",""Kitchen""]",Coffee
Woolworth,Illy 3kg Classico Arabica Coffee Beans Classic Roast/Sweet Notes Hot Drink,Illy,3KG,186.15,186.15,186.15,186.15,0.0,"[""Tea & Coffee"",""Everyday Market"",""Coffee""]",Coffee
Woolworth,Illy 3kg Intenso Arabica Coffee Beans Robust/Bold Roast/Full Bodied Hot Drink,Illy,3KG,169.15,169.15,169.15,169.15,0.0,"[""Tea & Coffee"",""Everyday Market"",""Coffee""]",Coffee
Woolworth,Illy Classico 100% Arabica Esspresso Classic Roast Roasted Coffe Beans 1.5kg,Illy,1.5KG,135.15,135.15,135.15,135.15,0.0,"[""Tea & Coffee"",""Coffee"",""Kitchen""]",Tea
Woolworth,Starbucks Multipack Espresso Dark Roast Coffee Pods Capsules x 120,Starbucks,120EA,128.04,128.04,128.04,128.04,0.0,"[""Tea & Coffee"",""Everyday Market"",""Coffee"",""Pantry""]",Coffee
Woolworth,1Kg Organic Dandelion Root - Dried Raw Herbal Tea Supplement,Orku,1KG,119.99,119.99,119.99,119.99,0.0,"[""Tea"",""Pantry""]",Tea
Woolworth,2 Pack Vittoria Coffee Espresso Gold Arabica Beans 1kg Bag,Vittoria,2KG,114.95,114.95,114.95,114.95,0.0,"[""Tea & Coffee"",""Coffee"",""Kitchen""]",Coffee
Woolworth,SodaStream 12 Pack Variety Assorted Flavours Syrup Soda Mix 440mL,Sodastream,1EA,109.95,109.95,109.95,109.95,0.0,"[""Water"",""Pantry""]",Juice
Woolworth,Sodastream Terra Sparkling Water Maker Black each,Sodastream,each,109.0,109.0,109.0,109.0,0.0,"[""Drinks"",""Cordials, Juices & Iced Teas""]",Water
Woolworth,432pc Twinings Asha Spiced Ginger Cardamom & Cinnamon Herbal Infusions 36g,Twinings,432EA,106.25,106.25,106.25,106.25,0.0,"[""Tea"",""Pantry""]",Tea
Woolworth,2 Pack Nescafe Blend 43 Decaf Instant Coffee 375g Decaffinated,Nescafe,2EA,98.95,109.95,98.95,109.95,0.1000454752160072,"[""Pantry""]",Coffee
Woolworth,L'Or Espresso Coffee Pods Colombia Box 100 Nespresso Machine Compatible,L'Or,100EA,98.95,98.95,98.95,98.95,0.0,"[""Tea & Coffee"",""Everyday Market"",""Coffee"",""Pantry""]",Coffee
